goods_code_8,Description_8,indent,CODE_2,CODE_4,CODE_6,CODE_8,CODE_10,CODE_14
0101291000 80,For slaughter,"- - - ",01,01,29,10,00,80
0101299000 80,Other,"- - - ",01,01,29,90,00,80
0102211000 80,Heifers (female bovines that have never calved),"- - - ",01,02,21,10,00,80
0102213000 80,Cows,"- - - ",01,02,21,30,00,80
0102219000 80,Other,"- - - ",01,02,21,90,00,80
0102290500 80,Of the sub-genus Bibos or of the sub-genus Poephagus,"- - - ",01,02,29,05,00,80
0102291000 10,Other,"- - - ",01,02,29,10,00,10
0102291000 80,Of a weight not exceeding 80|kg,"- - - - ",01,02,29,10,00,80
0102292100 10,Of a weight exceeding 80|kg but not exceeding 160|kg,"- - - - ",01,02,29,21,00,10
0102292100 80,For slaughter,"- - - - - ",01,02,29,21,00,80
0102292900 80,Other,"- - - - - ",01,02,29,29,00,80
0102294100 10,Of a weight exceeding 160|kg but not exceeding 300|kg,"- - - - ",01,02,29,41,00,10
0102294100 80,For slaughter,"- - - - - ",01,02,29,41,00,80
0102294900 80,Other,"- - - - - ",01,02,29,49,00,80
0102295100 10,Of a weight exceeding 300|kg,"- - - - ",01,02,29,51,00,10
0102295100 20,Heifers (female bovines that have never calved),"- - - - - ",01,02,29,51,00,20
0102295100 80,For slaughter,"- - - - - - ",01,02,29,51,00,80
0102295900 80,Other,"- - - - - - ",01,02,29,59,00,80
0102296100 10,Cows,"- - - - - ",01,02,29,61,00,10
0102296100 80,For slaughter,"- - - - - - ",01,02,29,61,00,80
0102296900 80,Other,"- - - - - - ",01,02,29,69,00,80
0102299100 10,Other,"- - - - - ",01,02,29,91,00,10
0102299100 80,For slaughter,"- - - - - - ",01,02,29,91,00,80
0102299900 80,Other,"- - - - - - ",01,02,29,99,00,80
0102391000 80,Domestic species,"- - - ",01,02,39,10,00,80
0102399000 80,Other,"- - - ",01,02,39,90,00,80
0102902000 80,Pure-bred breeding animals,"- - ",01,02,90,20,00,80
0102909100 10,Other,"- - ",01,02,90,91,00,10
0102909100 80,Domestic species,"- - - ",01,02,90,91,00,80
0102909900 80,Other,"- - - ",01,02,90,99,00,80
0103911000 80,Domestic species,"- - - ",01,03,91,10,00,80
0103919000 80,Other,"- - - ",01,03,91,90,00,80
0103921100 10,Domestic species,"- - - ",01,03,92,11,00,10
0103921100 80,"Sows having farrowed at least once, of a weight of not less than 160|kg","- - - - ",01,03,92,11,00,80
0103921900 80,Other,"- - - - ",01,03,92,19,00,80
0103929000 80,Other,"- - - ",01,03,92,90,00,80
0104101000 80,Pure-bred breeding animals,"- - ",01,04,10,10,00,80
0104103000 10,Other,"- - ",01,04,10,30,00,10
0104103000 80,Lambs (up to a year old),"- - - ",01,04,10,30,00,80
0104108000 80,Other,"- - - ",01,04,10,80,00,80
0104201000 80,Pure-bred breeding animals,"- - ",01,04,20,10,00,80
0104209000 80,Other,"- - ",01,04,20,90,00,80
0105111100 10,Grandparent and parent female chicks,"- - - ",01,05,11,11,00,10
0105111100 80,Laying stocks,"- - - - ",01,05,11,11,00,80
0105111900 80,Other,"- - - - ",01,05,11,19,00,80
0105119100 10,Other,"- - - ",01,05,11,91,00,10
0105119100 80,Laying stocks,"- - - - ",01,05,11,91,00,80
0105119900 80,Other,"- - - - ",01,05,11,99,00,80
0105991000 80,Ducks,"- - - ",01,05,99,10,00,80
