goods_code_10,Description_10,indent,CODE_2,CODE_4,CODE_6,CODE_8,CODE_10,CODE_14
0102291010 80,"Young male bovine animals, intended for fattening","- - - - - ",01,02,29,10,10,80
0102291020 80,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed, other than for slaughter","- - - - - ",01,02,29,10,20,80
0102291030 80,"Heifers of the Schwyz and Fribourg breeds, other than for slaughter","- - - - - ",01,02,29,10,30,80
0102291040 80,"Heifers of the spotted Simmental breed, other than for slaughter","- - - - - ",01,02,29,10,40,80
0102291050 80,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds, other than for slaughter","- - - - - ",01,02,29,10,50,80
0102291090 80,Other,"- - - - - ",01,02,29,10,90,80
0102292910 80,"Young male bovine animals, intended for fattening","- - - - - - ",01,02,29,29,10,80
0102292920 80,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed","- - - - - - ",01,02,29,29,20,80
0102292930 80,Heifers of the Schwyz and Fribourg breeds,"- - - - - - ",01,02,29,29,30,80
0102292940 80,Heifers of the spotted Simmental breed,"- - - - - - ",01,02,29,29,40,80
0102292950 80,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds","- - - - - - ",01,02,29,29,50,80
0102292990 80,Other,"- - - - - - ",01,02,29,29,90,80
0102294910 80,"Young male bovine animals, intended for fattening","- - - - - - ",01,02,29,49,10,80
0102294920 80,"Heifers and cows of the grey, brown or yellow mountain breeds and spotted Pinzgau breed","- - - - - - ",01,02,29,49,20,80
0102294930 80,Heifers and cows of the Schwyz and Fribourg breeds,"- - - - - - ",01,02,29,49,30,80
0102294940 80,Heifers and cows of the spotted Simmental breed,"- - - - - - ",01,02,29,49,40,80
0102294950 80,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds","- - - - - - ",01,02,29,49,50,80
0102294990 80,Other,"- - - - - - ",01,02,29,49,90,80
0102295110 80,"Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg","- - - - - - - ",01,02,29,51,10,80
0102295190 80,Other,"- - - - - - - ",01,02,29,51,90,80
0102295911 10,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed","- - - - - - - ",01,02,29,59,11,10
0102295911 80,"Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg","- - - - - - - - ",01,02,29,59,11,80
0102295919 80,Other,"- - - - - - - - ",01,02,29,59,19,80
0102295921 10,Of the Schwyz and Fribourg breeds,"- - - - - - - ",01,02,29,59,21,10
0102295921 80,"Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg","- - - - - - - - ",01,02,29,59,21,80
0102295929 80,Other,"- - - - - - - - ",01,02,29,59,29,80
0102295931 10,Of the spotted Simmental breed,"- - - - - - - ",01,02,29,59,31,10
0102295931 80,"Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg","- - - - - - - - ",01,02,29,59,31,80
